Name,Enabeled,Status,Last Run Outcome,Last Run,Next Run,Category,Runnable,Scheduled,CategoryID
BW_BI - ARAgingCustView to Table - SL,yes,Idle ,Succeeded,3/29/23 1:33,3/30/23 1:33,[Uncategorized (Local)],yes,yes,0
SL - SHIFTEXDI000 - NESTOR,yes,Idle ,Succeeded,3/29/23 1:32,3/30/23 1:32,[Uncategorized (Local)],yes,yes,0
BW_BI - Bookings V4 to Table - NESTOR,yes,Idle ,Succeeded,3/29/23 1:30,3/30/23 1:30,[Uncategorized (Local)],yes,yes,0
BW_BI - ESBPayableHeaderView to Table - SL,yes,Idle ,Succeeded,3/29/23 1:24,3/30/23 1:24,[Uncategorized (Local)],yes,yes,0
SL - SHIFT000 - NESTOR,yes,Idle ,Succeeded,3/29/23 1:21,3/30/23 1:21,[Uncategorized (Local)],yes,yes,0
SL - itemloc - NESTOR,yes,Idle ,Succeeded,3/29/23 1:15,3/30/23 1:15,[Uncategorized (Local)],yes,yes,0
SL - RESSCHD000 - NESTOR,yes,Idle ,Succeeded,3/29/23 1:15,3/30/23 1:15,[Uncategorized (Local)],yes,yes,0
SL - BW_MfgLabel - NESTOR,yes,Idle ,Succeeded,3/29/23 1:11,3/30/23 1:11,[Uncategorized (Local)],yes,yes,0
SL - RESRC000 - NESTOR,yes,Idle ,Succeeded,3/29/23 1:11,3/30/23 1:11,[Uncategorized (Local)],yes,yes,0
SL - whse - NESTOR,yes,Idle ,Succeeded,3/29/23 1:10,3/30/23 1:10,[Uncategorized (Local)],yes,yes,0
SL - RESLOAD000 - NESTOR,yes,Idle ,Succeeded,3/29/23 1:09,3/30/23 1:09,[Uncategorized (Local)],yes,yes,0
BW_BI - item_hst system version replacement - NESTOR,yes,Idle ,Succeeded,3/29/23 1:07,3/30/23 1:07,[Uncategorized (Local)],yes,yes,0
BW_BI - co_ship - NESTOR,yes,Idle ,Succeeded,3/29/23 1:05,3/30/23 1:05,[Uncategorized (Local)],yes,yes,0
SL - co_ship - NESTOR,yes,Idle ,Succeeded,3/29/23 1:05,3/30/23 1:05,[Uncategorized (Local)],yes,yes,0
Reference - site Sync - SL,yes,Idle ,Succeeded,3/29/23 1:00,3/30/23 1:00,[Uncategorized (Local)],yes,yes,0
SL - dcta Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:00,3/30/23 1:00,[Uncategorized (Local)],yes,yes,0
SL - CO and Item Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:00,3/30/23 1:00,Data Collector,yes,yes,8
SL - jobtran Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:00,3/30/23 1:00,[Uncategorized (Local)],yes,yes,0
Reference - currparms_all Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:00,3/30/23 1:00,[Uncategorized (Local)],yes,yes,0
SL - dcsfc Sync - NESTOR,yes,Idle ,Succeeded,3/29/23 1:00,3/30/23 1:00,[Uncategorized (Local)],yes,yes,0
BW_BI - Planning Details View Table - NESTOR,yes,Idle ,Succeeded,3/29/23 1:00,3/30/23 1:00,[Uncategorized (Local)],yes,yes,0
